date,beta,beta_std,spread
2015-01-02,2.2654737928869118,0.0010759603860614928,7.70824617575272e-05
2015-01-05,2.248464158612876,0.0010753400725778905,-0.0005775040202706805
2015-01-06,2.214633184240588,0.0010672448455548466,-0.0011399599513026715
2015-01-07,2.2512103081998576,0.0010541020719166648,0.0012173198838780763
2015-01-08,2.264756373429853,0.0010415179654324155,0.00044544982392835664
2015-01-09,2.2745192745134983,0.0010531234794552585,0.0003246338159357265
2015-01-12,2.285837850192765,0.0010627447200602374,0.00037979582128855327
2015-01-13,2.2847282673884024,0.0010629937045063278,-3.724012626094009e-05
2015-01-14,2.2960735985342806,0.0010647404640313034,0.0003814013685428108
2015-01-15,2.305827147146602,0.0010692574380058834,0.00032928103915708107
2015-01-16,2.312434907257013,0.0010654908212116203,0.00022228995989337363
2015-01-20,2.283871230274381,0.0010499546755371896,-0.000946884241542989
2015-01-21,2.2707557548514563,0.0010451171970783362,-0.0004327861045254622
2015-01-22,2.2835790636688476,0.001035101822367582,0.0004190900270231168
2015-01-23,2.2997195724872697,0.0010463224123277253,0.0005332378906217627
2015-01-26,2.3200552064421793,0.001053857017975146,0.0006766607185539897
2015-01-27,2.3065026381488307,0.001069005510924473,-0.0004574390338518697
2015-01-28,2.3082306811442055,0.001080977444031653,5.8978603817649855e-05
2015-01-29,2.305808852852659,0.001076360358755113,-8.230212202420262e-05
2015-01-30,2.302649835959902,0.0011006454759105203,-0.00010978049357390773
2015-02-02,2.317050268421035,0.0010895440521078725,0.0004953565477450184
2015-02-03,2.335944115513968,0.001088498208826927,0.0006493154588298466
2015-02-04,2.3428574605578616,0.0010871941152250301,0.0002373030530691267
2015-02-05,2.336946871517501,0.001084335450855857,-0.00020234957858633607
2015-02-06,2.3585225186244796,0.0010932193952422062,0.0007447078468629797
2015-02-09,2.352997084085114,0.0010990459113772422,-0.00019173059830279726
2015-02-10,2.336239701985819,0.0010687534313315343,-0.0005654224727891233
2015-02-11,2.395305918395938,0.0010695093370597624,0.001994536222525767
2015-02-12,2.403608026428725,0.0010745759307263245,0.0002816730782626564
2015-02-13,2.3864965485323384,0.0010791770169743598,-0.0005830388555665422
2015-02-17,2.3781440787192434,0.0010838176504723638,-0.000285815847277604
2015-02-18,2.4061573761440465,0.0010858929225618676,0.0009604240573821698
2015-02-19,2.3698749277762254,0.0010761050966827186,-0.0012326975320462452
2015-02-20,2.385907990448834,0.0010796901745123827,0.0005465523221914736
2015-02-23,2.402170704105548,0.0010827829176259518,0.0005559664886902738
