date,beta,beta_std,spread
2015-01-02,1.3073343304561846,0.0016400188528138634,0.00021440558323604364
2015-01-05,1.2994601737975044,0.0016545377291022688,-0.012858146935059267
2015-01-06,1.3046982410142878,0.001664989654222621,0.008604994811207689
2015-01-07,1.307544330853453,0.0016435666760148124,0.004612128908007662
2015-01-08,1.3103124173857912,0.0016223606962461959,0.00442941019288412
2015-01-09,1.3130758553735242,0.0016461170942456845,0.004491534296519717
2015-01-12,1.2992734147374723,0.0016492768386684052,-0.022460709216161945
2015-01-13,1.2980960209946164,0.0016445991261153352,-0.0019101950872197904
2015-01-14,1.322465312951068,0.0016772770136971303,0.040350181810509866
2015-01-15,1.3166526665371563,0.001692955978982594,-0.009706595586479239
2015-01-16,1.331306954592189,0.0016812160990925579,0.02428417248243875
2015-01-20,1.329235062971354,0.0016691725443466214,-0.0034094579423822324
2015-01-21,1.3186927247174827,0.0016663859049770105,-0.017325358665758017
2015-01-22,1.326914750058313,0.001664369148956762,0.013496569767994515
2015-01-23,1.3238392976613647,0.0016600413575815418,-0.005035242518971472
2015-01-26,1.3204538218894704,0.0016711184177509951,-0.005581631739545401
2015-01-27,1.3199765691676402,0.001706978513286852,-0.0008039255034759663
2015-01-28,1.327599861542988,0.0017381547379129775,0.013067267215276956
2015-01-29,1.3294496035710424,0.0017270207877889902,0.00314643610833798
2015-01-30,1.3045008968486187,0.0016814987438376146,-0.041303154092574346
2015-02-02,1.3163414914078149,0.0016787098013247676,0.019598888741313658
2015-02-03,1.3073113548866293,0.0016507211434654211,-0.014692247652121182
2015-02-04,1.2880639451988856,0.0016197391637935835,-0.030740916009449393
2015-02-05,1.2794860072023415,0.0015795543962671172,-0.01336509720904644
2015-02-06,1.2751857639976896,0.0016047560262256028,-0.006818394421131302
2015-02-09,1.2906487971312568,0.001616320038206193,0.02467963733006684
2015-02-10,1.289997303708501,0.0016217453083540668,-0.0010430084802095507
2015-02-11,1.284312692697961,0.0016103387581984296,-0.009033536485645755
2015-02-12,1.305982836527745,0.0015818060071517031,0.03382323891800354
2015-02-13,1.3070014747422725,0.001589113444922625,0.0015988800320343444
2015-02-17,1.3067243774342303,0.0015820211276137168,-0.0004328499545209752
2015-02-18,1.3180826826778298,0.0015920509826306117,0.017861951030440082
2015-02-19,1.3400051830520603,0.001592172544552473,0.03446695252182508
2015-02-20,1.3448446890336712,0.0015699776704419235,0.007500033143358564
2015-02-23,1.349684071377665,0.0015699089249962281,0.007504704639316628
2015-02-24,1.3553084595257434,0.0015729450717240048,0.008739361363950593
2015-02-25,1.3723442429495973,0.0015699106430238107,0.026415951308436547
2015-02-26,1.3488001631013438,0.0015657665774657372,-0.036412513028295734
2015-02-27,1.3436326306736615,0.001579504131942048,-0.008064834805168175
2015-03-02,1.337419189806699,0.0015408238637906043,-0.009449947023966843
2015-03-03,1.3363965445309482,0.0015571438800745239,-0.0015740753076016745
2015-03-04,1.3544285265907043,0.0015657592778355219,0.02789854951987536
2015-03-05,1.3688679605816498,0.001563645433156624,0.022303437261243175
2015-03-06,1.3633794244074677,0.0015907716142746335,-0.00862902967300272
2015-03-09,1.357848471283756,0.0015788948757551608,-0.00862187897591582
2015-03-10,1.3548632758970034,0.0016149870824814228,-0.004764336587186335
2015-03-11,1.3291949484488783,0.0016176857475413806,-0.04098989387829022
2015-03-12,1.338684604995239,0.0015894230048031973,0.014881302112243588
