# Phase 0 candidate shortlist. NOT a proof: ~12 pairs x 4 correlation windows + a cointegration p-value each is a multiple-comparisons setup, no correction applied. Confirm any selection out-of-sample before trading it.
pair,corr_30d_mean,corr_90d_mean,corr_180d_mean,corr_365d_mean,corr_min_across_windows,corr_consistent,coint_pvalue,beta_mean,beta_cv,beta_autocorr,note
JPM/BAC,0.8859259492624136,0.8985591979691366,0.906860248503813,0.913223757931707,0.8859259492624136,True,0.2288454992638742,0.30628710040648144,0.27406052802464503,0.9985843488796471,
EMR/ITW,0.6934713015561447,0.696319854548016,0.7046790933436852,0.7110521246523844,0.6934713015561447,True,0.26491552403216145,1.2707020501022646,0.6842574168293065,0.9980560107802872,
T/VZ,0.6445203337030333,0.6459931181601649,0.6534357507139995,0.6691972660722899,0.6445203337030333,True,0.26517915720985785,1.0483712404205363,0.8862220057662689,0.997798529275672,
CAT/DE,0.6584937877951569,0.6565452059117134,0.6682586210433116,0.6799632877810585,0.6565452059117134,True,0.2767968112210675,0.9501968891916663,0.61908776464987,0.9991053509128234,
DBB/CPER,0.7339809471137699,0.7390372853459719,0.7435021189745671,0.7472609675823254,0.7339809471137699,True,0.3400686762522751,1.380667389152061,0.30084187737565865,0.9981742381925005,
SLB/HAL,0.8117791489498988,0.813040500421819,0.8141563490458074,0.8152558482283555,0.8117791489498988,True,0.35658853528281775,0.7880511605645333,0.3126814658378855,0.998660245328614,
SO/D,0.7003696598606521,0.703343896553264,0.7145187271266883,0.7400928440178318,0.7003696598606521,True,0.3796711270201902,0.8912059271283329,0.7308842698542053,0.9980129402214262,
C/WFC,0.7527630069612237,0.7693624756035246,0.7809694651824334,0.7841880362572682,0.7527630069612237,True,0.4464430727975508,0.5108682100555357,0.6935715705528597,0.9987931208775892,
USO/XLE,0.6777890558553982,0.6765139611550378,0.6721845581678677,0.662504570364217,0.662504570364217,True,0.46202462758164486,0.16809323897869236,0.9845419198340764,0.9992955232827155,
GLD/SLV,0.7962982542676841,0.7933002213896054,0.7884357487384097,0.7867619671874804,0.7867619671874804,True,0.4916904193020911,0.16942566835182338,0.5542943695075528,0.9989313337430963,
MSFT/GOOGL,0.6742542378125168,0.6930258356325634,0.712793609157545,0.7381931398266328,0.6742542378125168,True,0.5917770289975312,0.44352260378932534,0.5943417788872453,0.9983713187834317,
XOM/CVX,0.7701545906072571,0.7780626785990665,0.7816791679883127,0.7754141109026533,0.7701545906072571,True,0.7336041172789473,1.2377525949975121,0.44713812482645154,0.9983946328114809,
SLV/PPLT,0.6607070260760045,0.6695329913536125,0.6703042435557769,0.6793315189141528,0.6607070260760045,True,0.7801995902489178,0.38428995755895784,0.6271438047317,0.9984042026335481,
AEP/DUK,0.8145990216484004,0.8184630154607977,0.828166169451924,0.8513759084597554,0.8145990216484004,True,0.796830192612446,0.925212988296979,0.33315401777652004,0.998674659301186,
MET/PRU,0.8756354662249319,0.8790502666313224,0.8817277386934622,0.8878955696593717,0.8756354662249319,True,0.800274274838883,1.5427862667068744,0.3789856570255178,0.9961267637694818,
NEE/AEP,0.7381585119086007,0.7398584854230301,0.7436071518283108,0.7711394847939058,0.7381585119086007,True,0.9160691832296497,1.2679451929063374,0.5675960038919483,0.9991160206336314,
GLD/PPLT,0.6127741724000395,0.6153883222186198,0.611285952660176,0.6121885715391508,0.611285952660176,True,0.9638373423865939,0.06056592680668999,1.0830697117369175,0.9991605164067147,"beta unstable -- looks like noise, not a structural relationship"
UPS/FDX,0.6765486433361684,0.6754641719284651,0.6779125382126524,0.6728260366760345,0.6728260366760345,True,0.9727146150311163,1.5200895540654555,0.6208785032098896,0.997570941211457,
PFE/MRK,0.5327127961419229,0.5406083465498375,0.562927385237065,0.5830798784689619,0.5327127961419229,True,0.9751759283006767,0.978890492531035,0.9714338459817952,0.9983891342195056,
COST/WMT,0.5033480923784138,0.5163617878597474,0.5253009379353576,0.5328374090684047,0.5033480923784138,True,1.0,0.06335456246115242,1.2698161388932,0.9982153256225507,"beta unstable -- looks like noise, not a structural relationship"
JNJ/ABT,0.45826422332688743,0.4772062798306926,0.498753720240547,0.538920895380602,0.45826422332688743,False,0.19498612049681485,0.38072864793235234,0.9768327285758928,0.9978501208579713,
INTC/AMD,0.3440247047924618,0.32100111939136017,0.3329349451386042,0.3351586440010469,0.32100111939136017,False,0.3958568625983603,-0.3878403928625528,-4.242602449437751,0.9992362609570328,
WMT/TGT,0.42802223405176437,0.41914160223804076,0.42701846220065665,0.4309317324744005,0.41914160223804076,False,0.798409573900069,2.3707305814990196,1.1690776745289149,0.9985619188782285,"beta unstable -- looks like noise, not a structural relationship"
PALL/PPLT,0.48652305670100493,0.4892007842828441,0.4858119364383273,0.4922642781209237,0.4858119364383273,False,0.9204999656748747,0.15568464904485718,1.1807805844021613,0.9981570851135417,"beta unstable -- looks like noise, not a structural relationship"
CVS/WBA,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,
